seq_index;sequence_stop_codons
0;[(10, 13, 'TGA'), (31, 34, 'TGA'), (77, 80, 'TGA'), (80, 83, 'TAG'), (107, 110, 'TAG'), (185, 188, 'TAA'), (200, 203, 'TAA'), (215, 218, 'TAG'), (248, 251, 'TGA'), (292, 295, 'TAA'), (297, 300, 'TGA'), (327, 330, 'TAA')]
1;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA')]
2;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA')]
3;[(5, 8, 'TAA'), (38, 41, 'TGA'), (65, 68, 'TAA'), (89, 92, 'TGA'), (151, 154, 'TAA'), (161, 164, 'TGA'), (170, 173, 'TGA'), (184, 187, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (280, 283, 'TGA'), (288, 291, 'TAA')]
4;[(11, 14, 'TGA'), (23, 26, 'TGA'), (28, 31, 'TGA'), (58, 61, 'TAA'), (113, 116, 'TGA'), (191, 194, 'TAG'), (200, 203, 'TGA'), (203, 206, 'TAG'), (238, 241, 'TGA'), (315, 318, 'TGA')]
5;[(31, 34, 'TGA'), (77, 80, 'TGA'), (85, 88, 'TGA'), (265, 268, 'TGA'), (278, 281, 'TGA'), (310, 313, 'TAA')]
6;[(10, 13, 'TGA'), (20, 23, 'TAA'), (31, 34, 'TAA'), (41, 44, 'TGA'), (92, 95, 'TAA'), (170, 173, 'TAA'), (188, 191, 'TGA'), (194, 197, 'TGA'), (202, 205, 'TAA'), (209, 212, 'TAA'), (221, 224, 'TAA'), (226, 229, 'TGA'), (251, 254, 'TGA'), (260, 263, 'TGA'), (277, 280, 'TGA'), (329, 332, 'TGA')]
7;[(11, 14, 'TAA'), (31, 34, 'TGA'), (61, 64, 'TGA'), (68, 71, 'TGA'), (77, 80, 'TAA'), (89, 92, 'TGA'), (122, 125, 'TGA'), (139, 142, 'TGA'), (148, 151, 'TAA'), (158, 161, 'TAA'), (164, 167, 'TAA'), (170, 173, 'TGA'), (196, 199, 'TAA'), (326, 329, 'TGA')]
8;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TGA'), (305, 308, 'TAA'), (332, 335, 'TAG'), (336, 339, 'TAA')]
9;[(31, 34, 'TAA'), (139, 142, 'TGA'), (145, 148, 'TAG'), (163, 166, 'TGA'), (172, 175, 'TGA'), (181, 184, 'TAA'), (197, 200, 'TGA'), (245, 248, 'TGA'), (281, 284, 'TAA'), (305, 308, 'TAA')]
10;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (268, 271, 'TAA'), (273, 276, 'TAA'), (293, 296, 'TAA'), (320, 323, 'TAG'), (324, 327, 'TAA')]
11;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (261, 264, 'TAA')]
12;[(11, 14, 'TGA'), (23, 26, 'TGA'), (28, 31, 'TGA'), (58, 61, 'TAA'), (113, 116, 'TGA'), (191, 194, 'TAG'), (200, 203, 'TGA'), (203, 206, 'TAG'), (238, 241, 'TGA'), (268, 271, 'TGA'), (284, 287, 'TAA'), (290, 293, 'TGA'), (319, 322, 'TGA'), (325, 328, 'TAA')]
13;[(10, 13, 'TGA'), (61, 64, 'TGA'), (86, 89, 'TAA'), (136, 139, 'TGA'), (139, 142, 'TAG'), (149, 152, 'TAA'), (158, 161, 'TGA'), (163, 166, 'TGA'), (181, 184, 'TGA'), (199, 202, 'TAA'), (220, 223, 'TGA'), (242, 245, 'TAG'), (245, 248, 'TGA'), (250, 253, 'TAG'), (290, 293, 'TAG'), (293, 296, 'TAA'), (298, 301, 'TGA'), (316, 319, 'TAA'), (322, 325, 'TGA'), (329, 332, 'TAG')]
14;[(31, 34, 'TGA'), (79, 82, 'TGA'), (97, 100, 'TAA'), (139, 142, 'TGA'), (148, 151, 'TGA'), (158, 161, 'TGA'), (274, 277, 'TGA'), (279, 282, 'TAG'), (316, 319, 'TAA'), (328, 331, 'TAA')]
15;[(31, 34, 'TAA'), (139, 142, 'TGA'), (145, 148, 'TAG'), (163, 166, 'TGA'), (172, 175, 'TGA'), (181, 184, 'TAA'), (197, 200, 'TGA'), (245, 248, 'TGA'), (325, 328, 'TGA')]
16;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (280, 283, 'TAA'), (312, 315, 'TGA')]
17;[(131, 134, 'TAA'), (139, 142, 'TGA'), (161, 164, 'TAA'), (164, 167, 'TGA'), (194, 197, 'TAG'), (242, 245, 'TGA'), (268, 271, 'TGA'), (281, 284, 'TAG')]
