seq_index;GeneChoice_V_gene_Undefined_side_prio7_size103;GeneChoice_J_gene_Undefined_side_prio6_size68;Deletion_V_gene_Three_prime_prio5_size21;Deletion_J_gene_Five_prime_prio5_size23;Insertion_VJ_gene_Undefined_side_prio4_size41;DinucMarkov_VJ_gene_Undefined_side_prio3_size16;Errors
0;(25);(7);(12);(5);(6);(0,1,2,3,3,3);()
1;(47);(49);(6);(11);(11);(0,0,3,0,2,2,0,1,3,3,3);(170)
2;(13);(16);(9);(18);(0);();(152)
3;(16);(5);(4);(10);(12);(0,2,2,1,0,3,2,2,2,2,0,2);(75,284)
4;(2);(9);(8);(12);(4);(1,0,0,0);()
5;(91);(37);(8);(4);(3);(0,0,2);()
6;(50);(42);(11);(5);(10);(2,3,3,1,1,1,2,0,1,3);(246,261)
7;(43);(3);(17);(2);(21);(0,2,2,0,3,1,1,1,2,3,1,2,2,2,2,2,2,3,0,2,3);(46)
8;(60);(44);(4);(9);(1);(3);()
9;(70);(51);(7);(19);(9);(2,2,2,1,1,1,1,2,1);(0,295)
10;(19);(15);(11);(3);(6);(0,1,0,3,1,0);()
11;(99);(39);(10);(7);(13);(2,1,3,3,2,2,0,2,3,0,3,1,1);(205)
12;(25);(16);(15);(9);(7);(2,0,0,2,0,2,0);()
13;(14);(23);(3);(13);(2);(0,0);(265,321)
14;(36);(5);(12);(8);(5);(0,3,1,1,2);()
15;(25);(26);(9);(4);(8);(0,3,0,2,1,3,1,2);(290)
16;(23);(31);(6);(8);(3);(1,3,1);(79)
17;(17);(2);(5);(9);(11);(0,1,3,2,0,0,0,0,1,3,1);(284)
18;(50);(41);(16);(9);(7);(1,1,0,0,0,0,3);(323)
19;(25);(34);(12);(5);(19);(2,1,1,2,2,2,1,1,1,2,2,0,2,2,3,3,2,2,2);(43)
20;(16);(16);(8);(6);(11);(3,3,1,2,1,1,3,1,1,2,2);(305)
21;(73);(10);(8);(12);(9);(2,2,2,3,1,1,1,2,1);(293)
22;(47);(10);(13);(12);(7);(1,2,0,1,0,0,2);()
23;(70);(44);(3);(8);(5);(3,2,3,0,0);(98,242)
24;(23);(59);(4);(11);(4);(2,2,2,0);()
25;(4);(33);(9);(5);(3);(2,3,0);()
26;(99);(50);(8);(10);(4);(1,1,3,0);(153)
27;(47);(50);(4);(8);(4);(0,1,3,1);(149)
